method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,0,233,1,0.6462912087912088,1.377101187259082,264.9214410051589,19.468788,34.475807,0.0459336071908785,259.81085,22,0.1410147,147.2173913043478,EndoFM,ncm_12,0.0327820437093916,0.5236641221374045,0.0874514219829671,-0.0873698237740175,ncm_12,EndoFM,Sigma0
HDBSCAN,0,89,1,0.4018566304998465,2.562327518730441,139.3107402313686,18.82258,35.27393,0.0471444079778637,278.8553,26,0.21056493,45.14814814814815,EndoFM,ncm_8,0.0172272354388843,0.7462437395659433,0.6294403643724337,0.4449063061735414,ncm_8,EndoFM,Sigma0
HDBSCAN,0,55,1,0.4737249865579677,2.1164598671794543,92.18260122097313,11.72881,26.873276,0.0240584645720858,140.86136,351,-0.03422316,12.272727272727272,EndoFM,ncm_6,0.5358796296296297,0.3321695760598503,0.648299446879977,0.3266298455625487,ncm_6,EndoFM,Sigma0
HDBSCAN,0,144,1,0.7817259339407074,1.8750210347575715,329.39741591266534,13.764241,26.82301,0.1088488824515276,136.20969,42,0.1975868,66.06976744186046,EndoFM,ncm_1,0.2298486448433649,0.4245886654478976,0.4554198672448035,0.18091815149291,ncm_1,EndoFM,Sigma0
HDBSCAN,0,233,1,0.2822755953984071,2.8984603094135344,170.31768486448772,11.463743,30.564072,0.0324069189356257,198.39355,114,0.03350088,24.078260869565216,EndoFM,ncm_7,0.6482484651498737,0.7166324435318275,0.2707215866214278,0.2717746106522726,ncm_7,EndoFM,Sigma0
HDBSCAN,0,89,1,0.1417128629145917,3.8251725277062256,121.41351952370074,12.507587,34.042244,0.0018615006506787,239.94037,212,0.0887503,11.910798122065728,EndoFM,ncm_9,0.1623965313362239,1.0,1.0,1.0,ncm_9,EndoFM,Sigma0
HDBSCAN,0,377,1,0.5126122474862354,2.4936978543859705,313.0583032371172,14.145483,31.713966,0.1050817512424572,225.18033,77,0.12548229,28.83333333333333,EndoFM,ncm_rmv_1,0.4059582036460649,0.6609281437125748,0.6953029883813362,0.5139492621429631,ncm_rmv_1,EndoFM,Sigma0
HDBSCAN,0,144,1,0.6635207783532978,1.8645960672788129,268.28189092433666,11.427024,27.909746,0.0475168951104052,124.03778,111,0.09539423,29.223214285714285,EndoFM,ncm_11,0.4335472043996333,0.5080906148867314,0.7084298613365984,0.49434710808445,ncm_11,EndoFM,Sigma0
HDBSCAN,0,89,1,0.7656235751565479,2.0287989862336726,188.77056186167263,14.647409,27.912823,0.1039503323089391,128.36475,106,0.19251283,16.69158878504673,EndoFM,ncm_10,0.2894736842105263,0.5862884160756501,0.6940421742257019,0.5337136630744647,ncm_10,EndoFM,Sigma0
HDBSCAN,0,233,1,0.4903795437248918,2.890517579945327,425.91786063067246,14.456698,31.37468,0.0648068722700163,201.00119,197,0.21623272,21.52525252525253,EndoFM,ncm_2,0.3141717503519474,0.9202873759835786,0.9071323347439924,0.937831507433438,ncm_2,EndoFM,Sigma0
HDBSCAN,0,144,1,0.5206841424088999,2.2443372955540486,213.65191768089232,12.715247,27.747248,0.0859172803326221,157.4166,199,0.082053155,16.86,EndoFM,ncm_5,0.4083629893238434,0.4200501253132832,0.610880267047152,0.3669390945260307,ncm_5,EndoFM,Sigma0
HDBSCAN,0,144,1,0.6028739338463398,2.2799544215713787,342.63781798671056,14.840274,32.21522,0.0431330164807374,193.66629,73,0.23912011,29.594594594594597,EndoFM,ncm_4,0.093607305936073,0.655919395465995,0.7584465038021483,0.5823615255367858,ncm_4,EndoFM,Sigma0
HDBSCAN,0,144,1,0.4292877598916493,2.89668339405665,241.7613160002422,15.29128,34.801476,0.0877399089202869,251.19412,92,0.19548772,25.623655913978496,EndoFM,ncm_3,0.0553923625681913,0.4517992003553976,0.1570297526074429,-0.0144274975583921,ncm_3,EndoFM,Sigma0
HDBSCAN,0,377,1,0.1923808001797609,3.2533948992174944,424.3488292107418,10.88399,33.277607,0.0085289779695943,212.11816,366,0.05043636,16.174386920980925,EndoFM,ncm_rmv_2,0.4524932614555256,0.8575384615384616,0.9164375436922614,0.9064347649721044,ncm_rmv_2,EndoFM,Sigma0
HDBSCAN,0,89,1,0.5551131715219577,2.105352958678798,264.4378104970512,14.456461,28.505524,0.1043817790552585,163.63368,317,0.1393401,16.01572327044025,EndoFM,ncm_rmv_4,0.2762615354408011,0.382799782962561,0.644899912212973,0.2770786257496073,ncm_rmv_4,EndoFM,Sigma0
HDBSCAN,0,233,1,0.4649108693414847,2.1384122366057925,302.3115838872858,16.03819,30.298214,0.0949297850472952,183.73825,105,0.116903976,27.952830188679247,EndoFM,ncm_rmv_3,0.4890313871076611,0.6571994715984147,0.7738128072072141,0.581444825898638,ncm_rmv_3,EndoFM,Sigma0
