method,sigma,minCl,minSpl,temporal_purity,silhouette_score,davies_bouldin_index,calinski_harabasz_index,intercluster_distance,intracluster_distance,intra_cluster_variance,transition_count,average_segment_length
CENDO_FM_HDBSCAN,4,300,1,0.7854298680644847,-0.05423946,2.145018668791675,1674.52697371534,0.36591676,4.4844327,2.2709043,140,189.9078014184397
CENDO_FM_Random_Segmentation,4,300,1,1.0,-0.14192215,3.640076906801556,1144.7780223451286,0.10753272,6.057327,4.3694625,22,1164.2173913043478
