method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,10,55,1,1.0,1.4022320221359643,959.579041332208,0.7857063,5.663921,0.7093572240560583,4.35872,29,0.3273262,112.86666666666666,SwinV2-B,ncm_12,0.047844063792085,0.2574441687344913,0.4973726913087171,0.1598271413798214,ncm_12,SwinV2-B,Sigma10
HDBSCAN,10,55,1,1.0,1.7559245738860834,429.04662059401744,0.770469,4.242115,0.7452675886813636,2.8852794,15,0.31676117,76.1875,SwinV2-B,ncm_8,0.0475799835931091,0.3402239448751076,0.6037477206386729,0.2822102784714214,ncm_8,SwinV2-B,Sigma10
HDBSCAN,10,21,1,1.0,1.508477805622473,378.41774136608655,0.71594954,3.7442598,0.7039046043272481,1.9687918,81,0.26730084,52.68292682926829,SwinV2-B,ncm_6,0.0851851851851851,0.2090080971659919,0.5368386022094542,0.153791885433918,ncm_6,SwinV2-B,Sigma10
HDBSCAN,10,89,1,1.0,1.2349372185120788,785.3142404293396,1.030056,5.1825075,0.6980531151200097,4.1425376,22,0.39853013,123.52173913043478,SwinV2-B,ncm_1,0.0932770151355156,0.2670807453416149,0.4982446206070794,0.1546826087511622,ncm_1,SwinV2-B,Sigma10
HDBSCAN,10,34,1,1.0,1.826446253796895,249.2038907716423,0.69728255,5.0557346,0.7045840144098668,3.5912938,46,0.16972944,58.91489361702128,SwinV2-B,ncm_7,0.0487540628385698,0.29916476841306,0.4260957971615887,0.1199175705745743,ncm_7,SwinV2-B,Sigma10
HDBSCAN,10,610,1,1.0,1.770527773008606,826.1783104520364,0.32964942,9.427103,0.5106575825304408,11.704369,2,0.20661546,845.6666666666666,SwinV2-B,ncm_9,0.2380764682696098,0.7211588204862908,0.3153669214037679,0.1943935410617452,ncm_9,SwinV2-B,Sigma10
HDBSCAN,10,55,1,1.0,1.7536286892352768,347.9325924306488,0.4955287,6.128707,0.666762780011998,5.4701843,24,0.2661452,89.96,SwinV2-B,ncm_rmv_1,0.0453534904401956,0.3926408942710759,0.6986501141231976,0.3573417187039574,ncm_rmv_1,SwinV2-B,Sigma10
HDBSCAN,10,55,1,1.0,1.5857517294780064,654.0236071865457,0.47014055,4.784473,0.6859475655209604,3.1709335,37,0.28910333,86.13157894736842,SwinV2-B,ncm_11,0.0458295142071494,0.2138968940121678,0.4996251928557485,0.1664220411461955,ncm_11,SwinV2-B,Sigma10
HDBSCAN,10,55,1,1.0,1.4348695995843874,343.382436467592,0.7198097,4.687528,0.6562311020481337,3.4378207,23,0.28608236,74.41666666666667,SwinV2-B,ncm_10,0.1142217245240762,0.270543615676359,0.5597712668864564,0.2477015699672864,ncm_10,SwinV2-B,Sigma10
HDBSCAN,10,377,1,1.0,1.5509393572939387,1859.7125728697945,0.5638393,8.767911,0.6898815858697918,10.71587,8,0.37611112,473.55555555555554,SwinV2-B,ncm_2,0.0626466447677146,0.7434292866082604,0.7491652406641464,0.6976059319726186,ncm_2,SwinV2-B,Sigma10
HDBSCAN,10,610,1,1.0,1.4307988037627557,1520.7659438054282,0.4326545,12.456447,0.6663981352619249,16.1699,1,0.26633313,1686.0,SwinV2-B,ncm_5,0.0,0.6654804270462633,0.5133679421663311,0.4427944732236636,ncm_5,SwinV2-B,Sigma10
HDBSCAN,10,55,1,1.0,1.4347902436261957,553.8069481240418,0.7897974,4.657959,0.6862214302319786,3.3480775,23,0.31850424,91.25,SwinV2-B,ncm_4,0.091324200913242,0.3422110552763819,0.5487442216201613,0.2412897591324794,ncm_4,SwinV2-B,Sigma10
HDBSCAN,10,21,1,1.0,1.2143912351795407,446.9829007153212,0.72523093,3.4787393,0.6889528453547814,1.8375051,48,0.32091123,48.63265306122449,SwinV2-B,ncm_3,0.1049097775912715,0.2719174871073605,0.5053129422183885,0.1866008955878834,ncm_3,SwinV2-B,Sigma10
HDBSCAN,10,89,1,1.0,1.9864766823230569,556.0246475026994,0.77962965,6.49279,0.7221696960707507,5.891723,36,0.15551524,160.43243243243242,SwinV2-B,ncm_rmv_2,0.0480121293800539,0.4627499557600424,0.7245685664418396,0.4103729522519594,ncm_rmv_2,SwinV2-B,Sigma10
HDBSCAN,10,89,1,1.0,1.8171650172339904,841.7927186357557,0.71719515,6.8765526,0.6944507208615656,6.174348,32,0.24279363,154.33333333333334,SwinV2-B,ncm_rmv_4,0.0337718437070488,0.3539930908351961,0.6618064251260759,0.2668807665269754,ncm_rmv_4,SwinV2-B,Sigma10
HDBSCAN,10,144,1,1.0,1.6860333778363783,492.04774724137786,0.81469387,6.1347346,0.7013305707540551,5.6223903,17,0.18967788,164.61111111111111,SwinV2-B,ncm_rmv_3,0.0533243334458318,0.5162210338680927,0.7251805287764905,0.4590706630980578,ncm_rmv_3,SwinV2-B,Sigma10
