method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,25,55,1,1.0,1.301103888851975,1706.3189333813802,0.41701114,3.4746742,0.756516695699019,1.4007338,24,0.38613608,135.44,SwinV2-B,ncm_12,0.0623154164205552,0.3155905511811023,0.5163563945940476,0.1855422528323095,ncm_12,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.478181193432272,708.3319376795232,0.59079164,2.2143116,0.6520930672782527,0.7203097,11,0.33101943,101.58333333333331,SwinV2-B,ncm_8,0.1033634126333059,0.4217749313815188,0.608700981432192,0.3253039061344839,ncm_8,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.408401940399986,621.0242020180968,0.50969213,2.4770756,0.72462112427507,0.8193227,48,0.28120106,88.16326530612245,SwinV2-B,ncm_6,0.1027777777777777,0.2858617131062951,0.5802620820508616,0.2310267443232393,ncm_6,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.1903786227429578,1075.8313378407336,0.34669423,2.7305717,0.6706653131125976,0.9283125,24,0.4529647,113.64,SwinV2-B,ncm_1,0.0806054206265399,0.313552833078101,0.4790566192203904,0.1451965619963145,ncm_1,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.565378781401956,509.40756639968527,0.4911572,3.272062,0.743842933041573,1.4028757,31,0.22284588,86.53125,SwinV2-B,ncm_7,0.0711448176236908,0.3098755832037325,0.4472490109070971,0.1407171869375733,ncm_7,SwinV2-B,Sigma25
HDBSCAN,25,610,1,1.0,0.9423331376702552,2457.087944189805,0.100227766,7.0435047,0.6651328276522814,4.6180453,1,0.44564286,1268.5,SwinV2-B,ncm_9,0.0,0.7122585731178558,0.2829466010863442,0.1796531414613618,ncm_9,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.5019353594409932,476.2424914458431,0.43658286,3.4627147,0.6707834027395244,1.6976265,23,0.2922462,93.70833333333331,SwinV2-B,ncm_rmv_1,0.0924855491329479,0.4149926506614405,0.6934008342861804,0.375787107594108,ncm_rmv_1,SwinV2-B,Sigma25
HDBSCAN,25,34,1,1.0,1.374776930574107,765.7849792232606,0.42784613,2.3596628,0.6670713785268011,0.7194947,41,0.31083333,77.92857142857143,SwinV2-B,ncm_11,0.1356553620531622,0.1898197242841993,0.4994176020854298,0.1532678150479286,ncm_11,SwinV2-B,Sigma25
HDBSCAN,25,89,1,1.0,1.3702666892798858,544.7052053675377,0.5793398,3.6807122,0.7424625948338635,1.881567,13,0.38315377,127.57142857142856,SwinV2-B,ncm_10,0.0755879059350503,0.5463355542095699,0.6807257370715801,0.521698191964549,ncm_10,SwinV2-B,Sigma25
HDBSCAN,25,610,1,1.0,1.1823901471161102,3068.004852319007,0.54937655,7.0207286,0.7287958232512304,5.1639066,4,0.41884878,852.4,SwinV2-B,ncm_2,0.0654622243078366,0.8722068792367562,0.7453115516891654,0.6739782885845804,ncm_2,SwinV2-B,Sigma25
HDBSCAN,25,610,1,1.0,1.2497705084435242,1958.5160328494417,0.11143733,8.202932,0.6656278789736466,7.454755,1,0.30230162,1686.0,SwinV2-B,ncm_5,0.0,0.6654804270462633,0.513318689070341,0.4426731215968847,ncm_5,SwinV2-B,Sigma25
HDBSCAN,25,610,1,1.0,1.4197288787698286,1048.34341257018,0.10575363,6.7118015,0.5177858310549752,7.020546,2,0.27526748,730.0,SwinV2-B,ncm_4,0.2214611872146118,0.6651026392961877,0.35291937219164,0.2324832574038151,ncm_4,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.2228625330646272,956.1251159946646,0.46696648,3.103691,0.7276502964109928,1.2558231,22,0.36254427,103.6086956521739,SwinV2-B,ncm_3,0.0956777171632395,0.3136890951276102,0.5826350994895168,0.2769403448343865,ncm_3,SwinV2-B,Sigma25
HDBSCAN,25,55,1,1.0,1.3741161904264634,880.3804115287896,0.50205505,2.862554,0.7194773440694979,1.1255298,55,0.26968348,106.0,SwinV2-B,ncm_rmv_2,0.0924865229110512,0.3278262483757193,0.6573613555067656,0.2650434402170133,ncm_rmv_2,SwinV2-B,Sigma25
HDBSCAN,25,89,1,1.0,1.44382212354853,1333.4253137179794,0.6157548,3.82527,0.753862996504732,1.8722731,32,0.3118134,154.33333333333334,SwinV2-B,ncm_rmv_4,0.0810916944826232,0.4,0.6827803361331473,0.2868384797884217,ncm_rmv_4,SwinV2-B,Sigma25
HDBSCAN,25,34,1,1.0,1.3191563382000908,721.0360696180668,0.34934238,2.2985365,0.7010594106747375,0.72461843,35,0.34252906,82.30555555555556,SwinV2-B,ncm_rmv_3,0.1144110698616267,0.4085365853658536,0.6714457067840365,0.3782221978119888,ncm_rmv_3,SwinV2-B,Sigma25
