method,sigma,minCl,minSpl,temporal_purity,silhouette_score,davies_bouldin_index,calinski_harabasz_index,intercluster_distance,intracluster_distance,intra_cluster_variance,transition_count,average_segment_length
ENDO_FM_HDBSCAN,4,300,1,1.0,-0.02880524,4.441799227006334,595.6875054269564,0.77086776,7.2139335,7.593622,67,480.6617647058824
ENDO_FM_Random_Segmentation,4,300,1,1.0,-0.052476633,3.859923376445207,585.7550286838142,0.26148778,6.7406745,7.2531548,41,778.2142857142857
