method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,50,89,1,1.0,1.2407164996788318,1609.5400966694128,0.27541846,2.6628675,0.6908744539106761,0.86376166,20,0.35988197,161.23809523809524,SwinV2-B,ncm_12,0.1089781453041937,0.3142194232681471,0.5403764557628101,0.2060574773185672,ncm_12,SwinV2-B,Sigma50
HDBSCAN,50,144,1,1.0,0.9371469976683126,1027.2593069793732,0.10994503,2.5927322,0.7016715982112144,0.65030056,4,0.32998168,243.8,SwinV2-B,ncm_8,0.1337161607875308,0.6534090909090909,0.4610402029374384,0.4101554670299155,ncm_8,SwinV2-B,Sigma50
HDBSCAN,50,55,1,1.0,1.378686398718152,769.02518727344,0.3113592,1.5905735,0.6882142812445295,0.3506786,33,0.2999064,127.05882352941175,SwinV2-B,ncm_6,0.1300925925925925,0.4079297498669505,0.6298246461664316,0.3394974095153386,ncm_6,SwinV2-B,Sigma50
HDBSCAN,50,55,1,1.0,1.185652743755104,1216.387086752717,0.3186603,1.7662328,0.66038341076575,0.36876175,20,0.40445715,135.28571428571428,SwinV2-B,ncm_1,0.1506511791622667,0.3232490675507666,0.5154016709094509,0.1752062499175746,ncm_1,SwinV2-B,Sigma50
HDBSCAN,50,144,1,1.0,1.6501490500807572,688.5282799194441,0.27279228,2.6927938,0.7344904190409393,0.901616,12,0.24446577,213.0,SwinV2-B,ncm_7,0.0931744312026002,0.4834727200318598,0.5229248748805646,0.2673988252227426,ncm_7,SwinV2-B,Sigma50
HDBSCAN,50,610,1,1.0,0.7532353604918043,3635.1712501924544,0.035141937,4.3553805,0.6646747648543905,2.0862532,1,0.5288392,1268.5,SwinV2-B,ncm_9,0.0,0.7154119038234135,0.2857677689690266,0.184908034557814,ncm_9,SwinV2-B,Sigma50
HDBSCAN,50,55,1,1.0,1.1672337628780545,1141.5134529138716,0.46517286,1.9549325,0.6838660171798846,0.4459977,17,0.35518596,124.94444444444444,SwinV2-B,ncm_rmv_1,0.1694086260560249,0.5551391862955032,0.7529417603776777,0.5022450702814961,ncm_rmv_1,SwinV2-B,Sigma50
HDBSCAN,50,233,1,1.0,2.070966494007012,1510.0722245760574,0.17786956,4.2958035,0.6323648543666058,2.1589997,6,0.20100833,467.57142857142856,SwinV2-B,ncm_11,0.1185456767491598,0.5389948006932409,0.5762865294254937,0.4032885993306051,ncm_11,SwinV2-B,Sigma50
HDBSCAN,50,55,1,1.0,1.212167616291285,883.752154428965,0.21375099,1.7512203,0.6681747170740042,0.3751527,13,0.44113922,127.57142857142856,SwinV2-B,ncm_10,0.1248600223964165,0.4081893793985924,0.6359786701114335,0.3962943465758836,ncm_10,SwinV2-B,Sigma50
HDBSCAN,50,987,1,1.0,1.00428884872417,3502.019321224852,0.05815461,7.8349876,0.6644456478014433,6.503995,1,0.40841025,2131.0,SwinV2-B,ncm_2,0.0,0.641482871891131,0.5114135796994747,0.4143616492150173,ncm_2,SwinV2-B,Sigma50
HDBSCAN,50,377,1,1.0,0.9507519249143084,2729.254115616136,0.044378843,5.970867,0.6645464039703364,3.4085057,1,0.38783455,1686.0,SwinV2-B,ncm_5,0.0,0.7031435349940688,0.7413997335177609,0.6106222765136641,ncm_5,SwinV2-B,Sigma50
HDBSCAN,50,377,1,1.0,0.9438935611842364,1897.2819099612595,0.051252715,5.1984673,0.6646908563213946,3.5435886,1,0.4173564,1095.0,SwinV2-B,ncm_4,0.0,0.6753424657534246,0.3943340592799661,0.2558966575312956,ncm_4,SwinV2-B,Sigma50
HDBSCAN,50,55,1,1.0,1.142546125751462,1166.3653835180571,0.20827758,2.087299,0.6633825125531371,0.54754514,18,0.37568933,125.42105263157896,SwinV2-B,ncm_3,0.1527486361728913,0.3407627538385339,0.5874220443586299,0.2880324173452869,ncm_3,SwinV2-B,Sigma50
HDBSCAN,50,144,1,1.0,1.4997520963266948,1430.7272669838353,0.40089878,2.8207052,0.7026828281829807,1.1023766,22,0.24083968,258.0869565217391,SwinV2-B,ncm_rmv_2,0.096866576819407,0.5211714232419324,0.7073629283278955,0.430259490951044,ncm_rmv_2,SwinV2-B,Sigma50
HDBSCAN,50,89,1,1.0,1.4149339227385438,1464.1261825425663,0.27373597,2.8228264,0.7005028610838723,0.957361,27,0.34376267,181.89285714285717,SwinV2-B,ncm_rmv_4,0.0907127429805615,0.4536817102137767,0.6785849962272774,0.3328770741802134,ncm_rmv_4,SwinV2-B,Sigma50
HDBSCAN,50,13,1,1.0,1.4338597712814354,1008.470888795799,0.28574964,1.5166742,0.6856059189981826,0.30146602,25,0.28316975,113.96153846153848,SwinV2-B,ncm_rmv_3,0.1589605129935876,0.4036918138041733,0.6599152224811509,0.3867190742495224,ncm_rmv_3,SwinV2-B,Sigma50
