method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,50,55,1,1.0,1.3371638935900183,1160.2539872766918,0.09610952,0.5005512,0.6976769280979627,0.031909354,22,0.39397597,147.2173913043478,ResNet-50,ncm_12,0.1252215002953337,0.288318703578663,0.5242869387971335,0.1939346808328636,ncm_12,ResNet-50,Sigma50
HDBSCAN,50,233,1,1.0,0.6616943578014692,1371.0358294634025,0.00619734,0.5338801,0.5737001190476925,0.04486826,2,0.56685585,406.3333333333333,ResNet-50,ncm_8,0.1386382280557834,0.7885714285714286,0.4748618054373429,0.4323353264823344,ncm_8,ResNet-50,Sigma50
HDBSCAN,50,89,1,1.0,1.0974847726576122,1316.542496405865,0.058469757,0.40092427,0.6618332972886604,0.023367368,23,0.37330794,180.0,ResNet-50,ncm_6,0.1344907407407407,0.4300615137737363,0.6915691986548899,0.4234735185800154,ncm_6,ResNet-50,Sigma50
HDBSCAN,50,89,1,1.0,1.2283682558343123,1101.8875733226066,0.07990467,0.45951024,0.7371963888328781,0.02946183,15,0.4235453,177.5625,ResNet-50,ncm_1,0.0950369588173178,0.396343835083625,0.5487219821428393,0.2158657233595765,ncm_1,ResNet-50,Sigma50
HDBSCAN,50,144,1,1.0,1.549466486079956,748.3048040617397,0.13996148,0.609443,0.8042237475173184,0.05487348,9,0.16529472,276.9,ResNet-50,ncm_7,0.1101480678945467,0.5036525974025974,0.4909949335634082,0.223234337334326,ncm_7,ResNet-50,Sigma50
HDBSCAN,50,377,1,1.0,0.9169707673159432,2076.246014777544,0.08426866,0.7475963,0.8016191842803368,0.068197004,3,0.2856779,634.25,ResNet-50,ncm_9,0.0102483247930627,0.5404221425726802,0.2228971414224817,0.0282273209043747,ncm_9,ResNet-50,Sigma50
HDBSCAN,50,610,1,1.0,0.9546029241311385,1138.8438410985143,0.007151182,0.8741162,0.603131809175179,0.10128219,2,0.40167403,749.6666666666666,ResNet-50,ncm_rmv_1,0.0942641173855046,0.6048109965635738,0.5763119028342709,0.4078405302792188,ncm_rmv_1,ResNet-50,Sigma50
HDBSCAN,50,144,1,1.0,1.693895333737533,1647.3331607518055,0.053182017,0.7199788,0.7067768017890022,0.07241881,11,0.38098812,272.75,ResNet-50,ncm_11,0.0598838985640085,0.4748131296717582,0.6113052608782261,0.3787755369276238,ncm_11,ResNet-50,Sigma50
HDBSCAN,50,55,1,1.0,1.4667302732240095,682.1202220125438,0.114024475,0.5088385,0.7383061848923798,0.035304233,10,0.4164426,162.36363636363637,ResNet-50,ncm_10,0.0996640537513997,0.6187810945273632,0.7511284066382803,0.6195757042936136,ncm_10,ResNet-50,Sigma50
HDBSCAN,50,89,1,1.0,1.103190140640533,1771.7047269539496,0.058908604,0.34621182,0.6582235070691509,0.015483441,27,0.38352913,152.21428571428572,ResNet-50,ncm_2,0.1194274988268419,0.3471889155342392,0.6216449715216583,0.3004123725798813,ncm_2,ResNet-50,Sigma50
HDBSCAN,50,13,1,1.0,1.245525490479953,750.9746989028512,0.084590964,0.35813788,0.6756637606230227,0.014458839,30,0.3366776,108.7741935483871,ResNet-50,ncm_5,0.1915776986951364,0.3257520176082171,0.5603167857866904,0.273391766905822,ncm_5,ResNet-50,Sigma50
HDBSCAN,50,144,1,1.0,0.9730943748325368,1832.959933516394,0.07987477,0.45553228,0.7250969260835495,0.03044914,10,0.48285675,199.0909090909091,ResNet-50,ncm_4,0.0904109589041095,0.5572289156626506,0.664209932003967,0.4322217497513743,ncm_4,ResNet-50,Sigma50
HDBSCAN,50,89,1,1.0,1.0718997640858017,921.4271814562412,0.10351564,0.45157155,0.670697515331283,0.025945578,15,0.39463893,148.9375,ResNet-50,ncm_3,0.1179185900125892,0.4757373929590865,0.6331574099474903,0.3965652930828073,ncm_3,ResNet-50,Sigma50
HDBSCAN,50,1597,1,1.0,1.3384682737488869,3019.941891833637,0.009394301,1.7967262,0.665689139211274,0.3476629,1,0.2718526,2968.0,ResNet-50,ncm_rmv_2,0.0,0.5283018867924528,0.525049866284328,0.38841665110405,ncm_rmv_2,ResNet-50,Sigma50
HDBSCAN,50,55,1,1.0,1.207884545666067,1183.9840808287431,0.09205039,0.4405351,0.6817010082469359,0.026122136,34,0.39667192,145.5142857142857,ResNet-50,ncm_rmv_4,0.1415668564696642,0.3611619396157365,0.6702740632377427,0.2741524691297327,ncm_rmv_4,ResNet-50,Sigma50
HDBSCAN,50,144,1,1.0,1.110584447679963,1437.7833388993572,0.065777585,0.47362614,0.7538221250157076,0.030151658,13,0.38054264,211.64285714285717,ResNet-50,ncm_rmv_3,0.087411407357408,0.558801775147929,0.6705016342503828,0.478080777023638,ncm_rmv_3,ResNet-50,Sigma50
