method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,200,233,1,1.0,1.4142130001948254,3942.7831045319112,0.021758463,0.16409864,0.7086686795743365,0.0035829619,7,0.2742636,423.25,EndoFM,ncm_12,0.148552864737153,0.5365938258758238,0.5811569812373902,0.3447069561407818,ncm_12,EndoFM,Sigma200
HDBSCAN,200,13,1,1.0,0.5821888263367813,3337.987222647063,0.07635447,0.22338872,0.641672326487283,0.005047409,3,0.60627717,304.75,EndoFM,ncm_8,0.1410992616899097,0.8414517669531996,0.6293669119514885,0.5570114830023256,ncm_8,EndoFM,Sigma200
HDBSCAN,200,21,1,1.0,0.9790176898046216,6249.374251902095,0.036252577,0.14904784,0.6751921610436764,0.002166186,10,0.37898043,392.7272727272728,EndoFM,ncm_6,0.2155092592592592,0.6597816465033933,0.701230404680063,0.5643826811739084,ncm_6,EndoFM,Sigma200
HDBSCAN,200,55,1,1.0,1.277686638048544,4751.1467184785215,0.035646085,0.18420973,0.5887863271782099,0.0035688586,6,0.3080962,405.8571428571428,EndoFM,ncm_1,0.1925378387891587,0.490409764603313,0.4585627412416833,0.2156827021622612,ncm_1,EndoFM,Sigma200
HDBSCAN,200,144,1,1.0,1.461291184753278,3466.306411655234,0.012556699,0.24322796,0.6250718492853167,0.0049615726,6,0.19265401,395.57142857142856,EndoFM,ncm_7,0.1141206211628746,0.5821443130860171,0.6809771229055444,0.4826774518851,ncm_7,EndoFM,Sigma200
HDBSCAN,200,377,1,1.0,0.4310334560421598,6071.36297918429,0.0014017791,0.3655587,0.663820367260721,0.013532424,1,0.6449136,1268.5,EndoFM,ncm_9,0.0,0.9527000394166338,0.7139710844254884,0.7999733287223026,ncm_9,EndoFM,Sigma200
HDBSCAN,200,377,1,1.0,0.3936342816712659,9417.227449765978,0.001189767,0.29388985,0.6639408756981172,0.0065414105,1,0.7165855,1124.5,EndoFM,ncm_rmv_1,0.0,0.6162738995108937,0.5330371550498239,0.3848723039742035,ncm_rmv_1,EndoFM,Sigma200
HDBSCAN,200,377,1,1.0,0.7865353912440687,4300.932016143689,0.013580763,0.5779066,0.6934123157518731,0.02593872,3,0.23403932,818.25,EndoFM,ncm_11,0.027803238619004,0.5201131363922061,0.334902368962707,0.0990790965716143,ncm_11,EndoFM,Sigma200
HDBSCAN,200,233,1,1.0,0.7839624563488359,2326.7411365747967,0.040441662,0.25122628,0.6732175993851414,0.005926399,3,0.4555716,446.5,EndoFM,ncm_10,0.0571108622620381,0.6217339667458432,0.5349992356950137,0.4251093979658892,ncm_10,EndoFM,Sigma200
HDBSCAN,200,987,1,1.0,0.5795513842921702,10728.396448212185,0.0015349607,0.4567776,0.6636114440646113,0.022725163,1,0.61369836,2131.0,EndoFM,ncm_2,0.0,0.7111684655091506,0.6772244374422624,0.5741237571001838,ncm_2,EndoFM,Sigma200
HDBSCAN,200,233,1,1.0,1.5263248581125033,3191.2091527273587,0.019381156,0.122683905,0.6677930446412883,0.0013333656,8,0.4340171,374.6666666666667,EndoFM,ncm_5,0.1539145907473309,0.6722747984577637,0.6388521520724849,0.5535642252319043,ncm_5,EndoFM,Sigma200
HDBSCAN,200,144,1,1.0,0.3588035467492468,12836.650644629315,0.0023595702,0.5197242,0.6639261680811483,0.01856037,1,0.7436327,1095.0,EndoFM,ncm_4,0.0,0.8415525114155251,0.7975237744249892,0.7926689540309381,ncm_4,EndoFM,Sigma200
HDBSCAN,200,13,1,1.0,1.4440172982155424,2653.730901365274,0.019959815,0.18564403,0.6187147247120075,0.0046265824,6,0.3181039,340.42857142857144,EndoFM,ncm_3,0.2047838858581619,0.6881266490765171,0.6832245716776925,0.5274273454906273,ncm_3,EndoFM,Sigma200
HDBSCAN,200,89,1,1.0,1.334598657787297,3517.749681034224,0.02674999,0.22650331,0.6852901171231833,0.0048964187,14,0.27474514,395.73333333333335,EndoFM,ncm_rmv_2,0.1681266846361185,0.6557310652085865,0.7167846111435243,0.5185189373618174,ncm_rmv_2,EndoFM,Sigma200
HDBSCAN,200,233,1,1.0,1.9323091130642176,4850.515127459529,0.016247863,0.21849485,0.6724125717792283,0.004812956,8,0.3041672,565.8888888888889,EndoFM,ncm_rmv_4,0.0930689181229138,0.6347694306126868,0.6917654918422372,0.5462498126954372,ncm_rmv_4,EndoFM,Sigma200
HDBSCAN,200,55,1,1.0,0.8105451866217322,6490.418220096803,0.01464081,0.18445176,0.6935963414391204,0.0033984594,6,0.55245537,423.2857142857143,EndoFM,ncm_rmv_3,0.0840364495443807,0.7406042741341193,0.7798506388728339,0.6573088139341746,ncm_rmv_3,EndoFM,Sigma200
