Metric,CendoFM,EndoFM,ResNet-50,SwinV2-B
ARI,0.05260499112719244,0.4783217485459163,0.28281584078071914,0.5818929609235245
Accuracy,0.36995735171485417,0.34631398784071965,0.3135118441761334,0.7120327495792785
CHI,0.8288189550831409,0.9072145243250299,0.8433272843806497,0.9074738077697265
DBCVI,0.3965817187455071,0.28132186157711425,0.2419727626231591,0.3091893085803336
DBI,-0.5854196067055472,-0.6452294415298796,-0.5814980035951346,-0.7359181189141168
NMI,0.10187560911736368,0.27981347186324734,-0.32478620776062317,0.4193137801406445
Noise %,-0.017127664986180353,-0.174050187388838,-0.14941147892711085,-0.23737395269349554
