method,sigma,minCl,minSpl,temporal_purity,silhouette_score,davies_bouldin_index,calinski_harabasz_index,intercluster_distance,intracluster_distance,intra_cluster_variance,transition_count,average_segment_length
RES_NET_101_HDBSCAN,4,300,1,1.0,0.02596568,3.211311213778867,686.4593252107729,0.55819654,4.4364223,3.0665188,59,446.28333333333336
RES_NET_101_Random_Segmentation,4,300,1,1.0,-0.05263245,3.190781862391446,573.6531497331271,0.13148825,4.4183297,3.0897894,37,704.6578947368421
