,Mean Temporal Purity,Median Temporal Purity,Mean Segment Length,Median Segment Length
Sigma0,0.28653093930636514,0.2279017762972981,92.20234135344786,4.875387476751395
Sigma1,0.45987007284715803,0.4174177513035633,393.6896808377513,5.154989384288747
Sigma10,0.8310679810215622,0.8309441971743902,26.45323058891638,26.179310344827588
Sigma100,0.8122006389889543,0.8162417085544353,147.76572015971016,147.31884057971016
Sigma1000,0.9935044925101891,0.9963125044936048,50.79563120933134,51.91566265060241
