method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,1,89,1,0.924427559219747,1.8442635009401056,375.4624240430435,5.0545,14.741243,0.2625999380214081,38.60109,26,0.2532264,125.4074074074074,EndoFM,ncm_12,0.0732427643236858,0.3205863607393244,0.5395086880630481,0.2095208118564079,ncm_12,EndoFM,Sigma1
HDBSCAN,1,89,1,0.9830808683206108,2.605830044571356,180.9802340994991,5.893528,16.13471,0.1261499350292308,46.30675,13,0.14470649,87.07142857142857,EndoFM,ncm_8,0.1173092698933552,0.5799256505576208,0.6989349470424863,0.51633191367071,ncm_8,EndoFM,Sigma1
HDBSCAN,1,144,1,0.8616417315817615,2.663760911701925,270.5684782472846,5.250405,15.914013,0.1248616097373227,47.22854,34,0.10574087,123.42857142857144,EndoFM,ncm_6,0.1004629629629629,0.5030880082346886,0.7395463214493272,0.5050065886178808,ncm_6,EndoFM,Sigma1
HDBSCAN,1,89,1,1.0,1.535866362689032,394.3247088312288,4.880836,12.730267,0.3433771189815153,30.627275,13,0.29537857,202.92857142857144,EndoFM,ncm_1,0.0003519887363604,0.3193661971830986,0.496681856020786,0.1561725236205887,ncm_1,EndoFM,Sigma1
HDBSCAN,1,233,1,0.8654080389768575,2.594909038832305,132.38511179373495,5.3716993,17.296759,0.0483432045569748,61.330616,6,0.060549155,395.57142857142856,EndoFM,ncm_7,0.0220296135789093,0.7592319054652881,0.5611340735980388,0.4478792813054056,ncm_7,EndoFM,Sigma1
HDBSCAN,1,89,1,1.0,2.232983207547232,295.2454386176872,5.6230764,17.03574,0.1417595145425383,57.044136,1,0.14356342,1268.5,EndoFM,ncm_9,0.0,1.0,1.0,1.0,ncm_9,EndoFM,Sigma1
HDBSCAN,1,89,1,0.93774220948134,2.0600294762902043,231.0651066217506,4.9318886,14.5342,0.252113158466413,37.45269,20,0.20541152,107.0952380952381,EndoFM,ncm_rmv_1,0.0995998221431747,0.4849382716049383,0.7536654418574338,0.4472503127512733,ncm_rmv_1,EndoFM,Sigma1
HDBSCAN,1,89,1,0.9127880108272264,1.9954208930864237,294.67803674138247,4.370229,13.98977,0.2325456883898785,32.3719,38,0.20210566,83.92307692307692,EndoFM,ncm_11,0.130766880537733,0.3268892794376098,0.557529112768434,0.2444931859655989,ncm_11,EndoFM,Sigma1
HDBSCAN,1,144,1,0.9318902891030392,1.6190292448343382,264.1222459512141,5.051614,15.336888,0.1709752304375396,42.18291,13,0.23152989,127.57142857142856,EndoFM,ncm_10,0.0666293393057111,0.55248950209958,0.6256231726334675,0.4740480538806296,ncm_10,EndoFM,Sigma1
HDBSCAN,1,233,1,1.0,2.214835313223012,540.7262055423373,5.596791,16.043972,0.1502231722171578,46.6587,9,0.3082307,426.2,EndoFM,ncm_2,0.0929141248240262,0.7990170719089498,0.8239024204837074,0.7560599871661151,ncm_2,EndoFM,Sigma1
HDBSCAN,1,987,1,0.7608486017357763,2.5975162340510423,466.42384898448057,5.2525945,17.298977,0.0348880818722124,53.100365,4,0.1333555,674.4,EndoFM,ncm_5,0.3970937129300118,1.0,1.0,1.0,ncm_5,EndoFM,Sigma1
HDBSCAN,1,610,1,0.7944983818770226,1.6273634911066055,623.6529890057722,5.599569,17.007008,0.3294584287041451,58.253956,3,0.25980657,547.5,EndoFM,ncm_4,0.2415525114155251,0.7910897049969897,0.7677171909662651,0.6560083013338107,ncm_4,EndoFM,Sigma1
HDBSCAN,1,233,1,0.8723608445297505,1.4301708744070447,451.9241911322331,5.672594,16.92691,0.3196977247177844,57.6836,2,0.2629854,794.3333333333334,EndoFM,ncm_3,0.0,0.4280318925723878,0.1452313005837938,-0.0250234434662104,ncm_3,EndoFM,Sigma1
HDBSCAN,1,987,1,0.8813559322033898,2.417797752997885,826.0127147613953,5.586708,18.026403,0.0829340568475546,63.955334,3,0.1381874,1484.0,EndoFM,ncm_rmv_2,0.0,0.6497641509433962,0.6670446927049368,0.6070410781798429,ncm_rmv_2,EndoFM,Sigma1
HDBSCAN,1,89,1,0.9045237468261692,2.029815463416903,344.7713895153923,5.2303033,14.963875,0.2278300428702815,40.969036,43,0.21826287,115.75,EndoFM,ncm_rmv_4,0.0634203809149813,0.3773584905660377,0.6871952351691408,0.2912376674957817,ncm_rmv_4,EndoFM,Sigma1
HDBSCAN,1,377,1,0.8871657754010696,2.0194784940038866,480.29227721182497,5.6570864,17.575314,0.1316749457139246,62.203293,4,0.1914503,592.6,EndoFM,ncm_rmv_3,0.0,0.6243671954100574,0.6423147023871681,0.5080888575304819,ncm_rmv_3,EndoFM,Sigma1
