Dataset,Model,Sigma,temporal_purity,davies_bouldin_index,calinski_harabasz_index,intercluster_distance,intracluster_distance,intra_cluster_variance,transition_count,average_segment_length
6cb700585c4f4070,CENDO_FM,4,0.6970235967273458,1.8839604978089608,8519.680366947987,0.23781712,3.3995237,1.0411458,193,137.08762886597938
8a00709108cd4e2b,CENDO_FM,4,0.5886116484846312,2.604414823290683,2210.1673801065685,0.3474267,5.895819,2.8838015,122,143.3658536585366
e2ec9bac087f4573,CENDO_FM,4,0.7163641578941826,3.5747179953430925,3073.330741090206,0.46381545,6.6617074,4.6175027,483,146.01652892561984
e65ce34d64094ded,CENDO_FM,4,0.6783473291329956,4.054259481822846,2285.3546318119597,0.5371333,6.890133,4.164852,192,169.3523316062176
eb29cc736838444d,CENDO_FM,4,0.8570208303053327,2.5862279524521194,1414.7975158222553,0.53196156,6.298669,4.668349,77,220.52564102564105
f7acef9e901f405c,CENDO_FM,4,0.8155306593688532,1.0388501206758287,4668.493562418656,0.82888645,9.944425,10.271437,3,6263.25
fe5d372e43f94f68,CENDO_FM,4,0.7854298680644847,2.145018668791675,1674.52697371534,0.36591676,4.4844327,2.2709043,140,189.9078014184397
